Name,ID,Year,Yahoo Fantasy Points,IP,Hits,Strikeouts,Walks,Earned Runs,Wins,Losses,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Gausman, Kevin",592332,2022,391.6,174.2,188,205,28,65,12,10,0.242,0.38,0.304,0.285,0.272,0.138,89,12.2,38.1,8.1,38.5,78.19909234,94.02161158,29.4,55.9
"Gausman, Kevin",592332,2021,523,192,150,227,50,60,14,6,0.231,0.381,0.265,0.29,0.284,0.151,89.1,12.1,30.6,7.1,40.9,77.91491178,94.44768787,31.3,52.4
"Gibson, Kyle",502043,2023,308,192,198,157,55,101,15,9,0.27,0.446,0.326,0.335,0.325,0.176,89.7,8.2,33.4,7.6,44.5,78.37767336,94.78738079,25.3,45.6
"Gibson, Kyle",502043,2022,243.6,167.2,176,144,48,94,10,8,0.262,0.421,0.331,0.326,0.32,0.159,88.6,10.6,34.8,7.5,37.5,77.43554204,93.99225239,25.1,48.5
"Gibson, Kyle",502043,2021,334,182,158,155,64,75,10,9,0.241,0.367,0.293,0.302,0.313,0.127,88.8,7.4,30.6,4.9,39.1,78.00897805,93.96893676,24.9,44.8
"Gilbert, Logan",669302,2023,426.6,190.2,169,189,36,79,13,7,0.243,0.41,0.29,0.297,0.28,0.167,90.5,13.6,35,9,44.6,80.44648539,94.74616915,26.3,52.2
"Gilbert, Logan",669302,2022,413.6,185.2,170,174,49,66,13,6,0.253,0.408,0.299,0.314,0.308,0.154,91,14.6,37.6,7.1,45.6,80.91513212,95.05454381,24.2,50.3
"Gilbert, Logan",669302,2021,226.3,119.1,112,128,28,62,6,5,0.242,0.428,0.305,0.311,0.294,0.185,90.1,19.2,36.4,8.8,44.6,79.70808468,94.68491383,27.1,50.9
"Giolito, Lucas",608337,2023,279.3,184.1,169,204,73,100,8,15,0.24,0.445,0.339,0.329,0.318,0.205,89.2,18.5,33.3,11,41.6,77.97955087,94.42069162,28.8,46.8
"Giolito, Lucas",608337,2022,262.6,161.2,171,177,61,88,11,9,0.249,0.397,0.344,0.318,0.319,0.149,88.8,12.6,37.9,7.5,39,77.64293049,94.18580163,28.5,47.4
"Giolito, Lucas",608337,2021,409.6,178.2,145,201,51,70,11,9,0.221,0.362,0.288,0.28,0.278,0.141,87.7,18.3,37.4,6.7,34.2,76.8325559,93.32321793,32.2,50.5
"Gomber, Austin",596295,2023,127,139,164,87,43,85,9,9,0.292,0.5,0.368,0.362,0.346,0.207,90.5,12.8,31.3,8.9,44.3,79.77744665,94.9510922,19,47.5
